Rodada;Data;Horário;Mandante;Visitante;Mandante Placar;Visitante Placar;season;Estado Mandante;Estado Visitante
1;19/05/2012;18:30:00;Palmeiras-SP;Portuguesa-SP;1;1;2012;RJ;SP
1;19/05/2012;18:30:00;Sport-PE;Flamengo-RJ;1;1;2012;GO;RJ
1;19/05/2012;21:00:00;Figueirense-SC;Nautico-PE;2;1;2012;SP;CE
1;20/05/2012;16:00:00;Ponte Preta-SP;Atletico-MG;0;1;2012;PR;GO
1;20/05/2012;16:00:00;Corinthians-SP;Fluminense-RJ;0;1;2012;MG;RS
1;20/05/2012;16:00:00;Botafogo-RJ;Sao Paulo-SP;4;2;2012;RJ;SP
1;20/05/2012;16:00:00;Internacional-RS;Coritiba-PR;2;0;2012;CE;MT
1;20/05/2012;18:30:00;Vasco da Gama-RJ;Gremio-RS;2;1;2012;SC;MG
1;20/05/2012;18:30:00;Bahia-BA;Santos-SP;0;0;2012;SP;PR
1;20/05/2012;18:30:00;Cruzeiro-MG;Atletico-GO;0;0;2012;RS;SP
2;26/05/2012;18:30:00;Atletico-GO;Ponte Preta-SP;1;1;2012;GO;SP
2;26/05/2012;18:30:00;Flamengo-RJ;Internacional-RS;3;3;2012;MG;RS
2;26/05/2012;18:30:00;Portuguesa-SP;Vasco da Gama-RJ;0;1;2012;SP;SC
2;26/05/2012;21:00:00;Nautico-PE;Cruzeiro-MG;0;0;2012;MT;RJ
2;27/05/2012;16:00:00;Santos-SP;Sport-PE;0;0;2012;SP;PR
2;27/05/2012;16:00:00;Atletico-MG;Corinthians-SP;1;0;2012;RJ;SP
2;27/05/2012;16:00:00;Coritiba-PR;Botafogo-RJ;2;3;2012;RS;CE
2;27/05/2012;16:00:00;Sao Paulo-SP;Bahia-BA;1;0;2012;SP;GO
2;27/05/2012;18:30:00;Gremio-RS;Palmeiras-SP;1;0;2012;PR;MG
2;27/05/2012;18:30:00;Fluminense-RJ;Figueirense-SC;2;2;2012;CE;RJ
3;06/06/2012;19:30:00;Atletico-GO;Gremio-RS;0;1;2012;PR;RJ
3;06/06/2012;19:30:00;Sport-PE;Palmeiras-SP;2;1;2012;SP;SP
3;06/06/2012;20:30:00;Vasco da Gama-RJ;Nautico-PE;4;2;2012;SP;SP
3;06/06/2012;20:30:00;Atletico-MG;Bahia-BA;1;1;2012;RJ;RS
3;06/06/2012;20:30:00;Coritiba-PR;Portuguesa-SP;2;0;2012;MG;PR
3;06/06/2012;21:50:00;Ponte Preta-SP;Flamengo-RJ;2;2;2012;SP;MG
3;06/06/2012;21:50:00;Internacional-RS;Sao Paulo-SP;1;0;2012;RS;MT
3;06/06/2012;21:50:00;Santos-SP;Fluminense-RJ;1;1;2012;GO;RJ
3;07/06/2012;21:00:00;Corinthians-SP;Figueirense-SC;1;1;2012;SC;GO
3;07/06/2012;21:00:00;Botafogo-RJ;Cruzeiro-MG;2;3;2012;CE;CE
4;09/06/2012;18:30:00;Flamengo-RJ;Coritiba-PR;3;1;2012;RJ;SP
4;09/06/2012;21:00:00;Palmeiras-SP;Atletico-MG;0;1;2012;CE;SP
4;10/06/2012;16:00:00;Portuguesa-SP;Atletico-GO;2;0;2012;MG;PR
4;10/06/2012;17:00:00;Gremio-RS;Corinthians-SP;2;0;2012;GO;MG
4;10/06/2012;17:00:00;Fluminense-RJ;Internacional-RS;0;0;2012;MT;GO
4;10/06/2012;17:00:00;Bahia-BA;Vasco da Gama-RJ;1;2;2012;RJ;RS
4;10/06/2012;18:30:00;Nautico-PE;Botafogo-RJ;3;2;2012;SP;CE
4;10/06/2012;18:30:00;Figueirense-SC;Ponte Preta-SP;0;0;2012;PR;RJ
4;10/06/2012;18:30:00;Cruzeiro-MG;Sport-PE;1;0;2012;RS;SC
4;10/06/2012;18:30:00;Sao Paulo-SP;Santos-SP;1;0;2012;SP;SP
5;16/06/2012;18:30:00;Internacional-RS;Botafogo-RJ;1;2;2012;MG;MG
5;16/06/2012;18:30:00;Cruzeiro-MG;Figueirense-SC;1;0;2012;PR;CE
5;16/06/2012;21:00:00;Fluminense-RJ;Portuguesa-SP;4;1;2012;RJ;RJ
5;17/06/2012;16:00:00;Sao Paulo-SP;Atletico-MG;1;0;2012;GO;GO
5;17/06/2012;16:00:00;Palmeiras-SP;Vasco da Gama-RJ;1;1;2012;SP;RJ
5;17/06/2012;16:00:00;Bahia-BA;Sport-PE;2;1;2012;SP;SP
5;17/06/2012;16:00:00;Flamengo-RJ;Santos-SP;1;0;2012;SP;MT
5;17/06/2012;18:30:00;Nautico-PE;Gremio-RS;1;0;2012;RS;RS
5;17/06/2012;18:30:00;Coritiba-PR;Atletico-GO;3;0;2012;CE;SP
5;17/06/2012;18:30:00;Ponte Preta-SP;Corinthians-SP;1;0;2012;SC;PR
6;23/06/2012;18:30:00;Vasco da Gama-RJ;Cruzeiro-MG;1;3;2012;SP;SP
6;23/06/2012;18:30:00;Portuguesa-SP;Sao Paulo-SP;1;0;2012;CE;RJ
6;23/06/2012;21:00:00;Atletico-MG;Nautico-PE;5;1;2012;RS;SP
6;24/06/2012;16:00:00;Corinthians-SP;Palmeiras-SP;2;1;2012;MG;GO
6;24/06/2012;16:00:00;Gremio-RS;Flamengo-RJ;2;0;2012;RJ;PR
6;24/06/2012;16:00:00;Figueirense-SC;Bahia-BA;1;1;2012;SP;MT
6;24/06/2012;18:30:00;Sport-PE;Internacional-RS;0;2;2012;PR;MG
6;24/06/2012;18:30:00;Botafogo-RJ;Ponte Preta-SP;1;2;2012;RJ;CE
6;24/06/2012;18:30:00;Santos-SP;Coritiba-PR;2;2;2012;SC;RS
6;24/06/2012;18:30:00;Atletico-GO;Fluminense-RJ;1;4;2012;GO;SP
7;30/06/2012;16:20:00;Nautico-PE;Fluminense-RJ;0;2;2012;SP;MG
